host,port,protocol,type,latency_ms,verified_at,source
dfh.ir.ir.ir.meli-n12.info,8443,mtproto,mtproto,582.01,,10ium/VpnClashFaCollector
eshkal-nadare.vasledada.info,8443,mtproto,mtproto,348.53,,10ium/VpnClashFaCollector
idiot.foltmeingop.co.uk,8880,mtproto,mtproto,380.04,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
ir.cheap-ass-domain.info,8443,mtproto,mtproto,300.35,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
ir.co.uk.zendrip.ir,443,mtproto,mtproto,,,10ium/VpnClashFaCollector
irj0000000070600.ir.meli-n13.info,8443,mtproto,mtproto,506.36,,10ium/VpnClashFaCollector
jj0.ir.meli-n13.info,8443,mtproto,mtproto,586.68,,10ium/VpnClashFaCollector
kk8iis1.ir.ir.ir.meli-n12.info,8443,mtproto,mtproto,580.92,,10ium/VpnClashFaCollector
km.ir.ir.ir.meli-n12.info,8443,mtproto,mtproto,509.65,,10ium/VpnClashFaCollector
n00.ir.meli-n13.info,8443,mtproto,mtproto,510.91,,10ium/VpnClashFaCollector
news.future.ir.balabolanda.info,88,mtproto,mtproto,660.96,,10ium/VpnClashFaCollector
noone.lavazemi1.co.uk,2083,mtproto,mtproto,298.35,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
o991.ir.ir.ir.meli-n12.info,8443,mtproto,mtproto,597.06,,10ium/VpnClashFaCollector
odk1.ir.ir.ir.meli-n12.info,8443,mtproto,mtproto,589.06,,10ium/VpnClashFaCollector
one.horizon555.co.uk,8443,mtproto,mtproto,234.91,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
oppii0880lkm.ir.ir.ir.meli-n12.info,8443,mtproto,mtproto,579.59,,10ium/VpnClashFaCollector
pesar.nanaz.co.uk,8443,mtproto,mtproto,325.25,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
puot.mozitop.co.uk,8443,mtproto,mtproto,310.56,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
rain.lavazemi2.co.uk,2053,mtproto,mtproto,534.52,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
reyhoon.shambelile.co.uk,8443,mtproto,mtproto,734.69,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
shahi.shambelile.co.uk,8443,mtproto,mtproto,595.43,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
signin-signout-manager.davazdah.info,443,mtproto,mtproto,606.64,,10ium/VpnClashFaCollector
tare.shambelile.co.uk,8443,mtproto,mtproto,236.65,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
www.digikallamall.ir.,8443,mtproto,mtproto,683.65,,10ium/VpnClashFaCollector
00nvfg1.ir.ir.ir.meli-n12.info,8443,mtproto,mtproto,513.05,,10ium/VpnClashFaCollector
136.243.195.203,443,mtproto,mtproto,151.93,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
15.204.207.236,8443,mtproto,mtproto,,,10ium/VpnClashFaCollector
155.254.35.188,8443,mtproto,mtproto,,,10ium/VpnClashFaCollector
191.101.113.238,12004,mtproto,mtproto,494.75,,10ium/VpnClashFaCollector
2d6dd1.mmd1.meli-n12.info,8443,mtproto,mtproto,582.43,,10ium/VpnClashFaCollector
417.ir.ir.ir.meli-n12.info,8443,mtproto,mtproto,503.39,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
44rt.94no.30ml.11ca.4fk.ir.,8443,mtproto,mtproto,,,10ium/VpnClashFaCollector
65.21.152.233,443,mtproto,mtproto,,,10ium/VpnClashFaCollector
880.ir.ir.ir.meli-n12.info,8443,mtproto,mtproto,502.71,,10ium/VpnClashFaCollector
887800.ir.ir.ir.meli-n12.info,8443,mtproto,mtproto,503.3,,10ium/VpnClashFaCollector
94.184.32.109.canlira.ir,4142,mtproto,mtproto,1061.8,,10ium/VpnClashFaCollector
b17.ir.meli-n13.info,8443,mtproto,mtproto,574.68,,10ium/VpnClashFaCollector
co.coe.c.0co.eu,6,mtproto,mtproto,267.37,,10ium/VpnClashFaCollector
cu.uk.sibgilasi.ir,443,mtproto,mtproto,,,10ium/VpnClashFaCollector
din5gli2.co.uk,4455,mtproto,mtproto,721.93,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
fa2.iiproxy.com,443,mtproto,mtproto,526.07,,10ium/VpnClashFaCollector
fa3.iiproxy.com,443,mtproto,mtproto,509.64,,10ium/VpnClashFaCollector
h1.iiproxy.com,443,mtproto,mtproto,590.27,,10ium/VpnClashFaCollector
h3.iiproxy.com,443,mtproto,mtproto,586.04,,10ium/VpnClashFaCollector
hibf6.ir.lpfss.co.uk.i9l9.ir.,8443,mtproto,mtproto,,,10ium/VpnClashFaCollector
im.dumaniltd.co.uk,8443,mtproto,mtproto,244.75,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
mio.foltmeingop.co.0co.eu,30,mtproto,mtproto,,,10ium/VpnClashFaCollector
nu2.iiproxy.com,443,mtproto,mtproto,524.91,,10ium/VpnClashFaCollector
nu3.iiproxy.com,443,mtproto,mtproto,508.41,,10ium/VpnClashFaCollector
p.arzanstar.shop,443,mtproto,mtproto,,,10ium/VpnClashFaCollector
pjjp1.ir.ir.ir.meli-n12.info,8443,mtproto,mtproto,503.76,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
plm6.ir.meli-n13.info,8443,mtproto,mtproto,515.22,,10ium/VpnClashFaCollector
pro.superturk.xyz,443,mtproto,mtproto,189.01,,10ium/VpnClashFaCollector
tole-s.barekatbashe.info,443,mtproto,mtproto,4577.65,,10ium/VpnClashFaCollector
tunf.ipbf.7580.b6.3bj.5nb.ir.,8443,mtproto,mtproto,,,10ium/VpnClashFaCollector
uptime.digikallamall.ir.,8443,mtproto,mtproto,,,10ium/VpnClashFaCollector
v00.ir.ir.ir.meli-n12.info,8443,mtproto,mtproto,509.7,,10ium/VpnClashFaCollector
yadak.zapas.site,6699,mtproto,mtproto,,,10ium/VpnClashFaCollector
109.107.190.101,443,mtproto,mtproto,,,10ium/VpnClashFaCollector
144.21.58.104,443,mtproto,mtproto,,,10ium/VpnClashFaCollector
162.252.199.203,8080,mtproto,mtproto,,,10ium/VpnClashFaCollector
2.27.14.150,443,mtproto,mtproto,,,10ium/VpnClashFaCollector
212.193.4.172,8443,mtproto,mtproto,685.64,,10ium/VpnClashFaCollector
217.144.186.190,443,mtproto,mtproto,,,10ium/VpnClashFaCollector
31.128.47.93,443,mtproto,mtproto,199.96,,10ium/VpnClashFaCollector
791kk.ir.meli-n13.info,8443,mtproto,mtproto,584.02,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
88o6k1.ir.meli-n13.info,8443,mtproto,mtproto,510.45,,10ium/VpnClashFaCollector
cdn.happylink.top,2053,mtproto,mtproto,305.69,,10ium/VpnClashFaCollector
co.uk.zenqor.ir,443,mtproto,mtproto,577.72,,10ium/VpnClashFaCollector
gidroksiweb.duckdns.org,443,mtproto,mtproto,331.87,,10ium/VpnClashFaCollector
Lashboy.muzanesghy.co.uk,4455,mtproto,mtproto,586.45,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
mtp1.v6n.tech,443,mtproto,mtproto,385.08,,10ium/VpnClashFaCollector
oom8.ir.ir.ir.meli-n12.info,8443,mtproto,mtproto,512.23,,10ium/VpnClashFaCollector
sahel.saheledarya.co.uk,8443,mtproto,mtproto,400.15,,10ium/VpnClashFaCollector
severjadid.co.uk,4455,mtproto,mtproto,588.39,,seedlist:https://raw.githubusercontent.com/SoliSpirit/mtproto/master/all_proxies.txt
tassian.goooalir.co.uk,8443,mtproto,mtproto,1564.52,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
the.sturm.mom,443,mtproto,mtproto,,,10ium/VpnClashFaCollector
bad.nisti.co.uk,8880,mtproto,mtproto,309.06,,10ium/VpnClashFaCollector
messi2.nisti.co.uk,8880,mtproto,mtproto,303.65,,10ium/VpnClashFaCollector
bia.nisti.co.uk,8880,mtproto,mtproto,288.62,,10ium/VpnClashFaCollector
goat.nisti.co.uk,8880,mtproto,mtproto,170.03,,10ium/VpnClashFaCollector
khob.nisti.co.uk,8880,mtproto,mtproto,179.95,,10ium/VpnClashFaCollector
messi.nisti.co.uk,8880,mtproto,mtproto,167.48,,10ium/VpnClashFaCollector
teranhavaei.charkhofalak.info.,7799,mtproto,mtproto,519.21,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
vahshianeh.ghodratitarin.info.,7799,mtproto,mtproto,509.39,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
shenzar-sahel.dashtodaman.info.,7799,mtproto,mtproto,633.32,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
nontanori.noshabekoka.info.,7799,mtproto,mtproto,510.09,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
iro.varfootball2.co.uk,2053,mtproto,mtproto,371.06,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
silnet.varfootball.co.uk,2053,mtproto,mtproto,235.3,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
noron.talebi.co.uk,2096,mtproto,mtproto,376.49,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
new.lambforkebeb.co.uk,2096,mtproto,mtproto,315.59,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
new2.lambforkebeb.co.uk,2096,mtproto,mtproto,456.58,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
silver.ciaude.co.uk,2096,mtproto,mtproto,383.99,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
gallery.talebi.co.uk,2096,mtproto,mtproto,380.43,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
craft.malavanann.co.uk,2083,mtproto,mtproto,262.58,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
ai.golgoli1.co.uk,2096,mtproto,mtproto,363.42,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
star.talebi.co.uk,2096,mtproto,mtproto,352.1,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
gold.lavazemi4.co.uk,2096,mtproto,mtproto,205.12,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
run.golgoli2.co.uk,2053,mtproto,mtproto,200.4,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
irogallery.golgoli1.co.uk,2096,mtproto,mtproto,197.65,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
flux.lavazemi5.co.uk,2096,mtproto,mtproto,166.98,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
hadaf.golgoli2.co.uk,2053,mtproto,mtproto,189.31,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
paydar.goooalir.co.uk,8443,mtproto,mtproto,605.41,,LoneKingCode/free-proxy-db
nab.goooalir.co.uk,8443,mtproto,mtproto,945.11,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
soh5.goooalir.co.uk,8443,mtproto,mtproto,540.49,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
vasle.goooalir.co.uk,8443,mtproto,mtproto,1552.04,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
for-iran.goooalir.co.uk,8443,mtproto,mtproto,599.18,,LoneKingCode/free-proxy-db
soheil.goooalir.co.uk,8443,mtproto,mtproto,1699.84,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
for.you.goooalir.co.uk,8443,mtproto,mtproto,532.44,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
AZADI.goooalir.co.uk,8443,mtproto,mtproto,527.68,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
mashti.just-money.co.uk,8880,mtproto,mtproto,165.48,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
are.ajjab.co.uk,8880,mtproto,mtproto,154.55,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
mio.foltmeingop.co.uk,8880,mtproto,mtproto,161.52,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
hey.foltmeingop.co.uk,8880,mtproto,mtproto,156.22,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
you.foltmeingop.co.uk,8880,mtproto,mtproto,153.62,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
look.foltmeingop.co.uk,8880,mtproto,mtproto,153.23,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
at.foltmeingop.co.uk,8880,mtproto,mtproto,159.49,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
me.foltmeingop.co.uk,8880,mtproto,mtproto,155.09,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
VIP.Mohearn.co.uk.,443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
ir.ataman.info,8443,mtproto,mtproto,191.48,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
ir.panhandleflyers.info,8443,mtproto,mtproto,393.04,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
deleted.antony-gordon.co.uk,80,mtproto,mtproto,736.06,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
21.hide.newflamingodomain.co.uk,8443,mtproto,mtproto,505.51,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
31.hide.newflamingodomain.co.uk,8443,mtproto,mtproto,672.75,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
41.hide.newflamingodomain.co.uk,8443,mtproto,mtproto,608.33,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
1.hide.newflamingodomain.co.uk,8443,mtproto,mtproto,507.6,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
Golden.Peachsoft.co.uk.,443,mtproto,mtproto,710.43,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
yeke-jahan.mohearn.co.uk.,443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
s47n.ir.ir.ir.meli-n12.info,8443,mtproto,mtproto,510.98,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
s7n.ir.ir.ir.meli-n12.info,8443,mtproto,mtproto,530.26,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
sn.ir.ir.ir.meli-n12.info,8443,mtproto,mtproto,512.88,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
s44447n.ir.ir.ir.meli-n12.info,8443,mtproto,mtproto,500.82,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
s4447n.ir.ir.ir.meli-n12.info,8443,mtproto,mtproto,591.32,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
s447n.ir.ir.ir.meli-n12.info,8443,mtproto,mtproto,507.7,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
alhosein.co.uk,4455,mtproto,mtproto,593.14,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
porsorate.co.uk,4455,mtproto,mtproto,584.04,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
rich.whiteblox.org.,80,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
Hub.whiteblox.org.,80,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
sop.foodpatuy.ir.,443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
sub.iran-tehran.co.uk.,443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
ih8nb.ir.meli-n13.info,8443,mtproto,mtproto,523.29,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
mamadali.co.uk,4455,mtproto,mtproto,586.28,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
jadid.goooalir.co.uk,8443,mtproto,mtproto,529.94,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
tabestan.goooalir.co.uk,8443,mtproto,mtproto,530.34,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
mamadgoli.co.uk,4455,mtproto,mtproto,578.02,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
dingi3.co.uk,4455,mtproto,mtproto,585.3,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
ir.esdata.info,8443,mtproto,mtproto,616.95,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
ir.grumpyoldmen.info,8443,mtproto,mtproto,587.34,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
ir.makkers.co.uk,8443,mtproto,mtproto,565.01,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
my-iran.vingardium.co.uk,8443,mtproto,mtproto,568.03,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
iranian.billblog.co.uk,8443,mtproto,mtproto,566.51,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
195.201.216.142,8443,mtproto,mtproto,149.64,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
for-iran.tryzub-it.co.uk,8443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
turk.dasy2k1.co.uk.,8443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
kurd.tryzub-it.co.uk.,8443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
my-iran.dinocol.co.uk.,8443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
ir.engematica.info,8443,mtproto,mtproto,556.2,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
ir.gnutella2.info,8443,mtproto,mtproto,635.81,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
close.your.mouth.and.eyse.kiroftopmine.site.,22,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
can.you.tell.me.how.can.i.bokhoramet.kiroftopmine.site.,25565,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
dark.canmycheshm.co.uk.,25565,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
new.canmycheshm.co.uk.,22,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
212.108.98.101.aprawood.ir,2020,mtproto,mtproto,1427.13,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
212.108.98.8.aprawood.ir,2020,mtproto,mtproto,1242.96,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
zon-b0z.co.uk.,443,mtproto,mtproto,512.08,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
ccc.horizon555.co.uk,8443,mtproto,mtproto,1506.01,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
khalije-ta-abad-fars.ir.pugfhtrdyted.info.,7443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
bo0ji.co.uk.,443,mtproto,mtproto,597.33,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
mio.mozitop.co.uk,8443,mtproto,mtproto,861.85,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
ving.mozitop.co.uk,8443,mtproto,mtproto,722.09,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
116.202.189.213,8443,mtproto,mtproto,582.48,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
91.234.147.5.best-domain.ir.best-domain.ir,4443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
91.234.147.6.best-domain.ir.best-domain.ir,4443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
91.234.147.7.best-domain.ir.best-domain.ir,4443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
91.234.147.8.best-domain.ir.best-domain.ir,4443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/SoliSpirit/mtproto/master/all_proxies.txt
91.234.147.9.best-domain.ir.best-domain.ir,4443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
https-cdn-ddns.itdeveloper.info.,88,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
qadim.zhigool.co.uk,22,mtproto,mtproto,1037.34,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
narooo.goooalir.co.uk,8443,mtproto,mtproto,528.73,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
sefid.goooalir.co.uk,8443,mtproto,mtproto,534.19,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
leomessi.goooalir.co.uk,8443,mtproto,mtproto,530.9,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
jadid.zhigool.co.uk,25565,mtproto,mtproto,801.95,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
ma.hastim.co.uk,443,mtproto,mtproto,695.94,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
dokhtar.nanaz.co.uk,8443,mtproto,mtproto,239.02,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
avavavavav.mohearn.co.uk.,443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
forward-gree.server-space52.info,443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
server2.server2-5mk.info,443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
hetzner.fourie.co.uk,443,mtproto,mtproto,285.16,,klondike0x/mtp4tg-proxies
joon.jinxandjack.co.uk,8443,mtproto,mtproto,,,klondike0x/mtp4tg-proxies
91.107.174.164,443,mtproto,mtproto,151.12,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
bala.hastim.co.uk,443,mtproto,mtproto,656.34,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
danmarki.tokhmemorgh.info.,7799,mtproto,mtproto,666.06,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
168.119.101.44,8443,mtproto,mtproto,152.17,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
Speed-speed.co.uk.,443,mtproto,mtproto,756.3,,seedlist:https://raw.githubusercontent.com/SoliSpirit/mtproto/master/all_proxies.txt
new7.mizanmizanesgh.co.uk,4455,mtproto,mtproto,585.65,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
www.royaclinic.co.uk,80,mtproto,mtproto,277.9,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
dns.speed-benz.co.uk,8443,mtproto,mtproto,537.83,,seedlist:https://raw.githubusercontent.com/SoliSpirit/mtproto/master/all_proxies.txt
nab-hdn.royaclinic.co.uk.,8443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
194.117.64.6,443,mtproto,mtproto,,,klondike0x/mtp4tg-proxies
evo.foriran.co.uk,443,mtproto,mtproto,661.27,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
abcd.server2-5mk.info,443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
kv67m.ir.meli-n13.info,8443,mtproto,mtproto,513.0,,10ium/VpnClashFaCollector
Nab-goliroya.whiteblox.org.,8443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
naro.guguli.co.uk,8443,mtproto,mtproto,1318.33,,10ium/VpnClashFaCollector
for--you.server2-5mk.info,443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
194.117.64.12,443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
napoli.goooalir.co.uk,8443,mtproto,mtproto,532.24,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
Suodbo.co.uk.,443,mtproto,mtproto,756.09,,seedlist:https://raw.githubusercontent.com/SoliSpirit/mtproto/master/all_proxies.txt
VATAN.goooalir.co.uk,8443,mtproto,mtproto,522.09,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
194.117.64.8,443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
udymau.server-space52.info,443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
l07.ir.ir.ir.meli-n12.info,8443,mtproto,mtproto,499.04,,10ium/VpnClashFaCollector
premium.speed-benz.co.uk,8443,mtproto,mtproto,299.53,,seedlist:https://raw.githubusercontent.com/SoliSpirit/mtproto/master/all_proxies.txt
194.117.64.11,443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
web3.benzcls.co.uk.,80,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
hetzner.dasy2k1.co.uk,443,mtproto,mtproto,341.86,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
